AltitudeVariation,VehicleSpeedInstantaneous,VehicleSpeedAverage,VehicleSpeedVariance,VehicleSpeedVariation,LongitudinalAcceleration,EngineLoad,EngineCoolantTemperature,ManifoldAbsolutePressure,EngineRPM,MassAirFlow,IntakeAirTemperature,VerticalAcceleration,FuelConsumptionAverage,roadSurface,traffic,drivingStyle,IRSI,DrivingAggressiveness,FuelEfficiencyScore,RoadCategory
"-9,2999878",0.08844764325905895,28.312631160000002,,"2,251800539",0.4806962025316455,0,65,107,1083,"17,19000053",23,0.5566368078175896,37.360672,0.0,0.5,1.0,27.45945080523768,42.76575383162818,0.738064003675431,Good
-4,0.10108302635276427,28.312631160000002,,"1,57626057",0.4641983122362869,"72,54901886",65,105,1227,"8,479999542",25,0.5566368078175896,30.72576714,0.0,0.5,1.0,27.64898155164326,42.61125354356205,0.8924175429726111,Good
"-1,5",0.11552346079594936,28.312631160000002,,"1,80144023",0.4584388185654008,"45,88235474",65,107,1374,"13,22999954",23,0.5629885993485342,29.58392715,0.0,0.5,1.0,27.992623898909923,42.95849117445401,0.9257356330055214,Good
"-0,7000122",0.12996388770404774,28.312631160000002,,"1,80143929",0.460084388185654,"23,52941132",65,103,1532,"10,64000034",23,0.5852605863192183,26.90962601,0.0,0.5,1.0,28.654670041945078,43.60193103558807,1.0144396470900616,Good
"-0,9000244",0.14440432984264057,28.312631160000002,,"1,80144119",0.4650210970464135,"19,6078434",65,101,1545,"9,220000267",22,0.5789087947882736,23.98976517,0.0,0.5,1.0,28.744240843405077,44.377017075562165,1.1329690762356213,Good
"-0,7999878",0.16064980818037924,28.312631160000002,,"2,02661896",0.47656118143459913,0,66,101,1434,"9,529999733",22,0.5629885993485342,22.12722206,0.0,0.5,1.0,28.669519109676372,45.488439584599135,1.2242123626671313,Good
"1,3999634",0.16425991103965987,28.312631160000002,,"0,45035934",0.49881856540084385,0,66,102,1434,"13,47000027",22,0.5423045602605864,22.14510536,0.0,0.5,1.0,28.30998987080663,46.52313905762015,1.223266462589998,Good
"1,2999878",0.14079419636205004,28.312631160000002,,"-2,92734146",0.5227215189873418,"9,019607544",66,102,893,"11,35000038",23,0.4978013029315961,22.01040459,0.0,0.5,1.0,27.067939004062673,46.54062861397568,1.2304273507778423,Good
"1,0999756",0.11552346079594936,28.312631160000002,,"-3,15251732",0.524367088607595,"23,13725471",66,101,870,"5,159999847",21,0.4866449511400652,20.5104084,0.0,0.5,1.0,26.465750934740544,45.59562197614178,1.3162293636414641,Good
"-0,1000366",0.08844764325905895,28.312631160000002,,"-3,3777008",0.5136497890295358,"29,41176605",66,100,1231,"4,699999809",19,0.4802931596091205,20.19609642,0.0,0.5,1.0,25.932577841068294,44.08389729154379,1.3357474224963921,Good
"-0,2000122",0.06678699529769627,28.312631160000002,,"-2,702159883",0.5062236286919831,"44,31372452",66,106,1872,"11,14999962",19,0.5089169381107492,21.01641464,0.0,0.5,1.0,26.18014369168043,42.92042495958718,1.2859782858813382,Good
"-0,2999878",0.07942237072004198,28.312631160000002,,"1,576259613",0.4881012658227848,"4,313725471",66,111,1250,"21,68000031",23,0.5200732899022802,21.98897171,0.0,0.5,1.0,26.59280135884623,42.700945461713076,1.2315744922024614,Good
"-0,3999634",0.10108302635276427,28.312631160000002,,"2,70216084",0.4650210970464135,"78,4313736",66,107,1271,"10,38000011",25,0.539128664495114,22.14227676,0.0,0.5,1.0,27.298818685193744,42.64416493596711,1.223415978195224,Good
"-0,2999878",0.1245487257197191,28.312631160000002,,"2,92733955",0.4501898734177215,"59,2156868",66,114,1555,"14,68000031",23,0.5598127035830619,22.45838547,0.0,0.5,1.0,28.064484957457026,42.989543965497624,1.206930084604838,Good
"-0,4000244",0.15884474144008395,28.312631160000002,,"4,27841854",0.43947257383966243,"24,70588303",66,113,1674,"18,39999962",24,0.5629885993485342,22.76029015,0.0,0.5,1.0,28.642443108571943,43.93269261118986,1.191594504160548,Good
"-0,6999512",0.17509025031897207,28.312631160000002,,"2,02662277",0.445253164556962,"41,17647171",66,111,1807,"18,25",24,0.5566368078175896,22.59437943,0.0,0.5,1.0,28.759089911136375,44.81373659503737,1.1999735464116845,Good
"-0,7000122",0.19314078008635108,28.312631160000002,,"2,25179863",0.4732700421940928,"34,11764908",66,115,1939,"18,25",23,0.5438925081433225,22.59437943,0.0,0.5,1.0,28.774961864161718,46.65643289121776,1.1999735464116845,Good
"-0,1999512",0.20577615556480913,28.312631160000002,,"1,57625962",0.4724472573839662,"25,09803963",66,112,2021,"15,61999989",24,0.5407166123778502,22.39271355,0.0,0.5,1.0,28.900974581029143,47.12893651795101,1.2103183796734005,Good
"-0,1999512",0.220216597703402,28.312631160000002,,"1,80144119",0.47656118143459913,"20,7843132",67,109,2052,"14,75",23,0.5264250814332248,22.04594421,0.0,0.5,1.0,28.831750594215528,47.87111116552005,1.22852988369705,Good
0,0.22743680350212367,28.312631160000002,,"0,90071869",0.5086919831223629,"15,29411793",67,108,2028,"14,88000011",23,0.5152687296416938,21.75104713,0.0,0.5,1.0,28.716926645365724,49.44515146497947,1.2444539804353174,Good
"0,2999878",0.22563175199232285,28.312631160000002,,"-0,22517968",0.510337552742616,"13,33333397",67,106,1958,"13,47000027",23,0.5232491856677525,21.36554909,0.0,0.5,1.0,28.84945999323989,49.438772189397554,1.2659036917031936,Good
1,0.2220216338223873,28.312631160000002,,"-0,45036125",0.5342405063291139,"14,50980377",67,105,1905,"13,26000023",22,0.5184446254071662,21.04700661,0.0,0.5,1.0,28.699217015479135,50.250485606060046,1.2841938890315414,Good
"1,4000244",0.2148014280236656,28.312631160000002,,"-0,90071869",0.5540295358649788,"13,72549057",67,105,1831,"13,03999996",22,0.539128664495114,20.783638,0.0,0.5,1.0,29.00459471025726,50.753238555545785,1.299720054106665,Good
"1,7000122",0.20577615556480913,28.312631160000002,,"-1,12590026",0.5400210970464134,"12,15686321",67,103,1732,"12,02000046",21,0.4993892508143323,20.50102615,0.0,0.5,1.0,28.074427349758786,49.8318901044489,1.3168037172960696,Good
"1,8999634",0.19675088302579216,28.312631160000002,,"-1,12590027",0.5120042194092826,"25,09803963",67,103,1708,"11,56999969",21,0.4771172638436482,20.24717331,0.0,0.5,1.0,27.493608522259848,48.350204097403,1.3325363683400953,Good
"2,0999756",0.19133572865671075,28.312631160000002,,"-0,67553902",0.5037552742616034,"21,96078491",67,103,1708,"10,96000004",21,0.4978013029315961,20.00447655,0.0,0.5,1.0,27.826061988482582,47.803640116732566,1.3479331937933965,Good
"1,6999512",0.18953067722707045,28.312631160000002,,"-0,22517967",0.48481012658227846,"18,4313736",67,103,1729,"10,97999954",21,0.5216612377850163,19.7482357,0.0,0.5,1.0,28.276184914106377,46.97363215237396,1.3645801777738626,Good
"1,1999512",0.18772561048677522,28.312631160000002,,"-0,22518158",0.45514767932489447,"29,80392265",68,103,1756,"11,06000042",21,0.5693403908794789,19.55601883,0.0,0.5,1.0,29.202691974891202,45.71493159246679,1.3773402035748186,Good
"-0,2000122",0.18772561048677522,28.312631160000002,,0,0.43864978902953583,"32,15686417",68,103,1756,"15,11999989",22,0.5900244299674267,19.57051468,0.0,0.5,1.0,29.61637275665016,45.05501598065245,1.3763696047686835,Good
"-0,5",0.19675088302579216,28.312631160000002,,"1,12590027",0.44772151898734175,"26,66666794",68,110,1930,"15,97999954",23,0.613884364820847,19.57103348,0.0,0.5,1.0,30.228950541803822,45.778896080525364,1.3763348928252293,Moderate
"-0,6000366",0.2129963765940253,28.312631160000002,,"2,02662086",0.47162447257383966,"15,29411793",68,112,2030,"15,23999977",23,0.5741449511400651,19.49700356,0.0,0.5,1.0,29.677844671711682,47.3848339667146,1.3813058614700267,Good
"-1,1000366",0.22924187024241893,28.312631160000002,,"2,02662087",0.48398734177215186,"16,86274529",68,110,2064,"14,71000004",23,0.5661644951140066,19.40486526,0.0,0.5,1.0,29.761917955916417,48.52916848058283,1.3875431569500107,Good
"-1,2999878",0.22924187024241893,28.312631160000002,,0,0.526012658227848,0,68,104,2054,"14,71000004",22,0.5232491856677525,19.40486526,0.0,0.5,1.0,28.903611766991332,50.21018113881068,1.3875431569500107,Good
"-1,5999756",0.22563175199232285,28.312631160000002,,"-0,45036126",0.5581434599156118,0,68,107,1966,"18,97999954",23,0.4739413680781759,19.48000336,0.0,0.5,1.0,27.86330364144836,51.351008476317396,1.3824524665507671,Good
"-2,2999878",0.20577615556480913,13.22350089,"121,5926897","-2,4769802",0.5771097046413501,"4,705882549",68,106,1796,"15,81000042",24,0.4611970684039088,19.49733543,0.0,0.5,1.0,27.31058370155031,51.315434408246375,0.6451326776184781,Good
"-2,0999756",0.19314078008635108,13.63891915,"120,4225707","-1,57625962",0.5968776371308017,"10,58823586",68,103,1689,"14,64999962",22,0.45484527687296417,19.51572227,0.0,0.5,1.0,26.99401723875455,51.60073668868611,0.6648032650521934,Good
"-1,5",0.18231045611769378,14.03104293,"118,4567689","-1,35107994",0.5919409282700422,"27,45098114",68,103,1599,"11,85000038",21,0.453257328990228,19.44176483,0.0,0.5,1.0,26.79980342156997,50.970055375509446,0.6863909768401342,Good
"0,1000366",0.17870035325841319,14.17107305,"117,5713084","-0,45035934",0.5894514767932489,"24,31372643",69,104,1620,"12,21000004",20,0.47235342019543974,19.38876915,0.0,0.5,1.0,27.12757370278499,50.72607320206648,0.6950430869928212,Good
"0,0999756",0.18953067722707045,14.3289535,"117,0741485","1,35107994",0.585337552742616,20,69,104,1708,"11,90999985",21,0.4802931596091205,19.30163765,0.0,0.5,1.0,27.448823350588462,50.99472919878747,0.7058028395063982,Good
"0,1000366",0.19855593445543246,14.74178347,"115,268498","1,12589836",0.5482489451476793,"23,52941132",69,104,1787,"11,36999989",20,0.47870521172638436,19.16961098,0.0,0.5,1.0,27.552443251359175,49.87219518412447,0.7308908181034237,Good
"0,3000488",0.20397108882451387,15.13960143,"114,1115405","0,67553902",0.5383755274261603,"23,13725471",69,105,1804,"11,72999954",21,0.4739413680781759,19.04090309,0.0,0.5,1.0,27.53839369393123,49.69386465002697,0.755435090026175,Good
"0,2999878",0.2148014280236656,15.57119641,"112,7888151","1,35108184",0.5342405063291139,"26,27450943",69,108,1939,"13,82999992",21,0.45484527687296417,18.98648643,0.0,0.5,1.0,27.31892695781427,49.96167737411118,0.7790862323168225,Good
"0,2000122",0.22563175199232285,16.0140504,"111,9504755","1,35107994",0.5128270042194093,"29,41176605",69,113,2151,"16,38999939",22,0.42463355048859935,18.97997665,0.0,0.5,1.0,26.87714728965683,49.53835024846929,0.8015049607177592,Good
"0,6000366",0.2382671427012754,16.48692841,"111,2646558","1,57626152",0.5103586497890296,"35,68627548",69,119,2270,"17,96999931",22,0.4500814332247557,18.99794388,0.0,0.5,1.0,27.575635805014244,49.9450316996122,0.8244311769715797,Good
"0,5",0.25270756960937374,16.98607741,"111,0760557","1,80143929",0.5251898734177215,"41,96078491",69,133,2452,"22,5",23,0.4882328990228013,19.07406425,0.0,0.5,1.0,28.55527152459663,51.11589772108381,0.8461703219864907,Good
"0,4000244",0.2743682175466883,17.5565334,"110,8931707","2,70215988",0.530126582278481,"25,09803963",69,130,2169,"26,22999954",23,0.4739413680781759,19.16825294,0.0,0.5,1.0,28.59435062476384,52.17979199300677,0.8705034319150106,Good
"-0,6000366",0.2870036235662958,18.14575445,"111,2237509","1,57626343",0.5086919831223629,"59,2156868",69,117,1589,"20,35000038",22,0.4802931596091205,19.15842628,0.0,0.5,1.0,28.910917545676845,51.827824267546355,0.9001572939254263,Good
"-0,8999634",0.2978339322242981,18.76499948,"111,3773745","1,35107803",0.5103586497890296,"51,37255096",70,124,1682,"19,87999916",22,0.4818811074918567,19.12820053,0.0,0.5,1.0,29.105131133201606,52.327703280533115,0.9322740724900757,Good
"-1,2000122",0.31588444676118266,19.42177444,"112,1920364","2,25179673",0.5251898734177215,"30,19607925",70,117,1734,"20,73999977",22,0.4771172638436482,19.08440971,0.0,0.5,1.0,29.280611978290704,53.64297280715618,0.9670074809482664,Good
"-0,9000244",0.3231046831010538,20.09356145,"112,7330307","0,9007225",0.5268354430379747,"19,2156868",70,106,1744,"12,46000004",20,0.4516693811074919,18.75436211,0.0,0.5,1.0,28.879957868665645,53.997605045561144,1.0171708576622827,Good
"-0,7000122",0.3231046831010538,20.76534846,"112,3561312",0,0.5317721518987342,"17,64705849",70,104,1721,"11,19999981",19,0.4691775244299674,18.37468147,0.0,0.5,1.0,29.230120735115158,54.19507339999152,1.0717775408154877,Good
"-0,1000366",0.3231046831010538,21.41086446,"112,163965",0,0.555675105485232,"6,274509907",70,102,1706,"11,10000038",19,0.5136807817589577,18.01745987,0.0,0.5,1.0,30.12018588169496,55.151191543451425,1.125853011199229,Moderate
"0,1999512",0.31407941056203675,22.05262747,"109,8101316","-1,12590027",0.524367088607595,"32,54901886",70,104,1740,"12,02999973",19,0.5327768729641694,17.75112152,0.0,0.5,1.0,30.36672861771394,53.53785996678526,1.176069785824736,Moderate
"0,4000244",0.3231046831010538,22.71690848,"107,0998952","1,12590027",0.49881856540084385,"47,84313965",70,117,1814,"23,28000069",20,0.5868485342019544,17.70003891,0.0,0.5,1.0,31.583540930554893,52.87692994007591,1.214805412402214,Moderate
"0,5999756",0.3393501308174825,23.4224724,"104,3693303","2,02661514",0.47985232067510547,"55,68627548",70,136,1936,"26,93000031",21,0.6202361563517915,17.73310852,0.0,0.5,1.0,32.494975089298066,52.768098059703526,1.250324919379691,Moderate
"0,7999878",0.36462091223538756,24.18057838,"102,7374554","3,15252304",0.46172995780590714,"46,66666794",71,139,2041,"23,25",23,0.6202361563517915,17.70068932,0.0,0.5,1.0,32.87403681056664,53.05403480165178,1.293031393989278,Moderate
"1,5",0.38447649343240686,24.97996733,"101,764199","2,4769783",0.4534810126582278,"50,19607925",71,141,2150,"26,42000008",22,0.615472312703583,17.69702721,0.0,0.5,1.0,33.076593655557765,53.51830024362538,1.3360395237933655,Moderate
"1,2000122",0.4079421775688673,25.78310924,"104,0754167","2,92733765",0.4460759493670886,"43,52941132",71,142,2234,"27,68000031",22,0.6011807817589576,17.68998337,0.0,0.5,1.0,33.14274829871216,54.16072507743823,1.3795148304618317,Moderate
"0,7000122",0.4115523110494578,26.5299562,"108,2968937","0,45036316",0.44276371308016876,"55,68627548",71,158,2349,"31,39999962",21,0.6170602605863192,17.70848274,0.0,0.5,1.0,33.51448987746825,54.17264096518506,1.4180709664540119,Moderate
"0,4000244",0.42779781992834587,27.27305023,"114,6043812","2,02662277",0.46090717299578055,"49,01960754",72,158,2453,"27,26000023",21,0.6313925081433225,17.66901779,0.0,0.5,1.0,34.04481746179164,55.54819971696505,1.4608722610253615,Moderate
"-0,0999756",0.4584837404046774,28.04241525,"124,708419","3,82806015",0.44360759493670887,"2,352941275",72,121,1713,"27,26000023",22,0.5995928338762215,17.66901779,0.0,0.5,1.0,33.86911278359459,56.08365341365544,1.5020830536152163,Moderate
"-0,5",0.4638988794631038,28.79676822,"135,1738421","0,67553711",0.4221729957805907,"68,62744904",72,134,1875,"16,20000076",19,0.6313925081433225,17.40805435,0.0,0.5,1.0,34.58633335481301,55.44287500974778,1.5643569750759672,Moderate
-1,0.4747291882012666,29.54361515,"146,7893163","1,35107804",0.4139240506329114,"61,96078491",73,154,1950,"28,67000008",20,0.6393322475570032,17.38067436,0.0,0.5,1.0,34.90758277415906,55.54612955336713,1.6073194362385734,Moderate
"-1,2999878",0.49638986667973056,30.30547415,"160,9586305","2,70216369",0.42464135021097044,"52,15686417",73,158,2007,"31,07999992",20,0.6440960912052117,17.367939,0.0,0.5,1.0,35.32776982430019,56.84124867562805,1.6499115197410008,Moderate
-1,0.5036100724784522,31.05232112,"175,7551803","0,90071869",0.43947257383966243,"33,33333206",73,146,2032,"31,42000008",20,0.6234120521172639,17.34980965,0.0,0.5,1.0,35.02239212952206,57.72330585272458,1.6922421383264865,Moderate
"-1,4000244",0.5180504840758957,31.79541505,"192,2442625","1,80143738",0.43371308016877635,"35,68627548",73,127,2047,"19,94000053",19,0.6536644951140065,17.16148758,0.0,0.5,1.0,35.844047163418566,58.07054256978687,1.7507054369827122,Moderate
"-1,1000366",0.5216606175564862,32.53850905,"208,2909166","0,45036316",0.4526582278481012,"37,64706039",74,126,2071,"21,11000061",19,0.6425081433224755,17.00611687,0.0,0.5,1.0,35.6750721297968,58.9727538161835,1.8070808539631567,Moderate
-1,0.5252706898746173,33.337898,"222,2856464","0,45035553",0.4534810126582278,"39,2156868",74,126,2094,"20,81999969",19,0.6282166123778502,16.8465271,0.0,0.5,1.0,35.443392595676265,59.1500681013138,1.868032800622593,Moderate
-1,0.5342959624136343,34.20859391,"234,2554744","1,12590027",0.4510126582278481,"46,66666794",74,135,2129,"23,45000076",19,0.636156351791531,16.73787308,0.0,0.5,1.0,35.737566472035134,59.41234482565929,1.9285623341488018,Moderate
"-0,9000244",0.5397111625543596,35.14684391,"242,8497178","0,67554473",0.4518354430379747,"32,54901886",74,126,2143,"21,21999931",19,0.6425081433224755,16.59281158,0.0,0.5,1.0,35.945830304764904,59.66186422369337,1.997795733227537,Moderate
"-0,8999634",0.5451263016127861,36.14138886,"247,9550537","0,67553711",0.44689873417721515,"39,2156868",74,129,2167,"21,05999947",19,0.6600162866449512,16.4460125,0.0,0.5,1.0,36.37722025709081,59.681001431600045,2.071613147130326,Moderate
"-1,2000122",0.5505414406712125,37.12092177,"253,2599733","0,67553711",0.42793248945147677,"34,50980377",74,126,2181,"20,43000031",19,0.6075325732899023,16.289217,0.0,0.5,1.0,35.408773075866236,59.138957204907584,2.1470562703909613,Moderate
"-1,5",0.5541515129893436,38.06292459,"259,54088","0,45035553",0.4510126582278481,"20,3921566",75,115,2174,"17,88999939",19,0.6107084690553746,16.08792686,0.0,0.5,1.0,35.52644207594764,60.20656684868768,2.227474690279661,Moderate
"-1,5999756",0.5523465074115077,38.95238552,"266,2590396","-0,22517395",0.46172995780590714,"20,3921566",75,111,2167,"15,23999977",18,0.5677524429967427,15.59318256,0.0,0.5,1.0,34.640246471107474,60.56305860869659,2.3474933382520438,Moderate
"-1,5",0.5505414406712125,39.76678645,"274,3560284","-0,22518158",0.4740928270042194,"23,52941132",75,111,2171,"17,23999977",18,0.5311889250814332,15.41043949,0.0,0.5,1.0,33.88190011169685,60.98537070701728,2.423261514369107,Moderate
"-1,3999634",0.5523465074115077,40.55116336,"282,6754111","0,22518158",0.4889240506329114,"24,31372643",75,114,2175,"16,39999962",18,0.5311889250814332,15.21777439,0.0,0.5,1.0,33.908976112801284,61.650822321776765,2.500414815549792,Moderate
"-1,7000122",0.5523465074115077,41.29801029,"291,1440179",0,0.5021097046413502,"27,05882454",75,114,2187,"19,57999992",19,0.5120928338762215,15.09473896,0.0,0.5,1.0,33.527054288697045,62.17824848211433,2.5659322833776486,Moderate
"-2,2999878",0.5559566408920984,42.02609227,"299,8083326","0,45036316",0.5161181434599156,"21,96078491",75,116,2194,"16,52000046",19,0.4993892508143323,14.91569996,0.0,0.5,1.0,33.32713462966812,62.882991374080554,2.6405431351195188,Moderate
"-2,7000122",0.5559566408920984,42.72415024,"308,3817782",0,0.5474261603375528,"21,96078491",75,114,2135,"21,65999985",19,0.485057003257329,14.83209991,0.0,0.5,1.0,33.040489678528054,64.13531204918606,2.698577603910535,Moderate
"-2,7000122",0.5505414406712125,43.39593716,"315,8505582","-0,67554474",0.5663924050632911,0,76,110,2122,"22,23999977",20,0.46596091205211726,14.7618084,0.0,0.5,1.0,32.57733985111053,64.67735382938015,2.7532333891331913,Moderate
"-2,4000244",0.5361010291539295,44.04145311,"320,832124","-1,80143737",0.5952320675105485,0,76,110,2064,"23,42000008",20,0.4755293159609121,14.71287346,0.0,0.5,1.0,32.552101756527186,65.25332386657911,2.80288982292867,Moderate
"-2,2000122",0.5216606175564862,44.66445112,"323,4095949","-1,80143738",0.6290084388185654,0,76,110,1999,"22,44000053",20,0.4643729641693811,14.66264629,0.0,0.5,1.0,32.11236854673491,66.02676225500205,2.851654202809684,Moderate
-2,0.5054151392187475,45.26868413,"323,3565558","-2,02661896",0.6595147679324894,0,76,109,1937,"21,27000046",19,0.4436889250814332,14.60897255,0.0,0.5,1.0,31.45500558990988,66.59719628604948,2.9001706540895924,Moderate
"-2,0999756",0.4855595580217283,45.85039918,"320,4725449","-2,4769783",0.6784599156118143,0,76,109,1848,"19,87999916",19,0.4134771986970684,14.55274582,0.0,0.5,1.0,30.552937344267296,66.56077894534171,2.948058157102962,Moderate
"-1,9000244",0.46570391566224967,46.40959613,"315,0024949","-2,47698593",0.6759915611814346,0,76,108,1785,"19,53000069",19,0.41506514657980453,14.50549412,0.0,0.5,1.0,30.286861666529834,65.66781907374737,2.99310655763868,Moderate
"-1,5",0.4476534011253651,46.94252211,"307,6110464","-2,25179673",0.675168776371308,"15,68627453",76,110,1755,"13,77999973",19,0.40077361563517916,14.37785816,0.0,0.5,1.0,29.73027332958406,64.91288709986694,3.0526047009657162,Good
"-0,9000244",0.4458483343850699,47.47544807,"299,3978736","-0,22518158",0.6669198312236286,"32,94117737",76,109,1758,"14,92000008",17,0.399185667752443,14.27205944,0.0,0.5,1.0,29.67143837082491,64.51072662434794,3.1086474130433324,Good
"-0,5",0.4476534011253651,48.01588008,"290,4791126","0,22518158",0.6718776371308016,"35,29411697",76,111,1777,15,17,0.40394951140065144,14.17148209,0.0,0.5,1.0,29.79379124489351,64.78124153024667,3.1648773531261507,Good
"-0,7000122",0.4530685401837916,48.56757104,"281,1408229","0,67553711",0.6735232067510548,"14,50980377",76,108,1780,"13,38000011",17,0.37056188925081435,14.04427814,0.0,0.5,1.0,29.20726588777316,65.06366987739386,3.2283085029429004,Good
